fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2016-12-01,19,21,6.2,MILTON,2016-12-01 19:00:00,2,
2016-12-02,3,6,8.4,MILTON,2016-12-02 03:00:00,3,
2016-12-05,21_04122016,3,10.2,DIEGO,2016-12-04 21:00:00,6,
2016-12-09,4,6,8.0,NATALIO,2016-12-09 04:00:00,2,
2016-12-20,10,11,4.18,NATALIO,2016-12-20 10:00:00,1,
2016-12-27,15,17,3.0,IVAN,2016-12-27 15:00:00,2,
2016-12-30,12,14,7.4,DIEGO,2016-12-30 12:00:00,2,
2017-01-01,20,22,12.2,DIEGO,2017-01-01 20:00:00,2,
2017-01-06,4,6,3.0,ROBERTO,2017-01-06 04:00:00,2,
2017-01-07,19_06062017,9,22.5,NATALIO,2017-06-06 19:00:00,14,
2017-01-08,10,11,54.0,NATALIO,2017-01-08 10:00:00,1,
2017-01-09,15,17,6.4,NATALIO,2017-01-09 15:00:00,2,
2017-01-13,5,10,5.8,DIEGO,2017-01-13 05:00:00,5,
2017-01-14,5,8,2.8,IVAN,2017-01-14 05:00:00,3,
2017-01-16,5,8,11.0,IVAN,2017-01-16 05:00:00,3,
2017-01-17,5,6,9.0,NATALIO,2017-01-17 05:00:00,1,
2017-01-18,6,8,14.0,NATALIO,2017-01-18 06:00:00,2,
2017-01-23,15,16,10.0,DIEGO,2017-01-23 15:00:00,1,
2017-01-24,5,8,3.2,IVAN,2017-01-24 05:00:00,3,
2017-01-25,14,18,11.8,IVAN,2017-01-25 14:00:00,4,
2017-01-26,5,8,16.0,IVAN,2017-01-26 05:00:00,3,
2017-01-27,5,8,3.5,IVAN,2017-01-27 05:00:00,3,
2017-01-31,20,22,2.0,FILI,2017-01-31 20:00:00,2,
2017-02-01,20,21,2.0,FILI,2017-02-01 20:00:00,1,
2017-02-16,14,16,4.8,DIEGO,2017-02-16 14:00:00,2,
2017-02-17,10,11,6.5,FILI,2017-02-17 10:00:00,1,
2017-02-18,12,13,2.0,FILI,2017-02-18 12:00:00,1,
2017-02-19,7,9,2.7,FILI,2017-02-19 07:00:00,2,
2017-02-22,5,7,2.0,IVAN,2017-02-22 05:00:00,2,
2017-02-23,10,12,6.7,IVAN,2017-02-23 10:00:00,2,
2017-02-26,11,14,5.02,NATALIO,2017-02-26 11:00:00,3,
2017-02-27,16,18,23.02,NATALIO,2017-02-27 16:00:00,2,
2017-02-28,18,20,10.3,FILI,2017-02-28 18:00:00,2,
